Method,Old path,New path,Parameter changes
"GET","/t/payroll/account_entries/{id}","/v0/administration/account_entries/{id}",""
"GET","/t/payroll/account_entries/by_employee_and_type_in_period/{employee_id}","/v0/administration/account_entries/by_employee_and_type_in_period/{employee_id}",""
"GET","/t/payroll/account_entries/by_employee_and_type_till_date/{employee_id}","/v0/administration/account_entries/by_employee_and_type_till_date/{employee_id}",""
"GET","/t/payroll/account_entries/by_employee_and_type/{employee_id}","/v0/administration/account_entries/by_employee_and_type/{employee_id}",""
"GET","/t/payroll/account_entries/by_employee_in_period/{employee_id}","/v0/administration/account_entries/by_employee_in_period/{employee_id}",""
"GET","/t/payroll/account_entries/by_employee_till_date/{employee_id}","/v0/administration/account_entries/by_employee_till_date/{employee_id}",""
"GET","/t/payroll/account_entries/by_employee/{employee_id}","/v0/administration/account_entries/by_employee/{employee_id}",""
"GET","/t/payroll/account_type_expire_statistics/by_employee_at_date/{employee_id}","/v0/administration/account_type_expire_statistics/by_employee_at_date/{employee_id}",""
"GET","/t/payroll/account_types","/v0/administration/account_types",""
"GET","/t/payroll/account_types/{id}","/v0/administration/account_types/{id}",""
"GET","/t/addresses/{id}","/v0/administration/addresses/{id}",""
"GET","/t/admin/background_image","/v0/administration/admin/background_image",""
"GET","/t/admin/licenses","/v0/administration/admin/licenses",""
"GET","/t/admin/logo_image","/v0/administration/admin/logo_image",""
"GET","/t/admin/logo_image/download","/v0/administration/admin/logo_image/download",""
"GET","/t/timesheet_config","/v0/administration/admin/timesheetconfig",""
"PUT","/t/timesheet_config","/v0/administration/admin/timesheetconfig",""
"GET","/t/admin/version","/v0/administration/admin/version",""
"GET","/t/agbcodes","/v0/administration/agbcodes",""
"GET","/t/agbcodes/{id}","/v0/administration/agbcodes/{id}",""
"GET","/t/agbcodes/by_client_id/{id}/sorted","/v0/administration/agbcodes/by_client_id/{id}/sorted",""
